name,mode,c,rate,users,dur,limit_mib,gomemlimit,config,seed,peak_mib,oom_kills,kratos_exit,signups_ok,signup_fail,signup_rps,signup_mean_ms,signup_p50_ms,signup_p95_ms,signup_p99_ms,signup_max_ms,requests,failures
gml1536MiB_c2_r2,closed,2,,,20,12288,1536MiB,kratos.local.yml,302,722.9,0,,105,0,5.6907714193390095,343.6201840476292,270.0,880.0,1200.0,1245.2586469999005,212,0
gml768MiB_c2_r0,closed,2,,,20,12288,768MiB,kratos.local.yml,300,711.5,0,,122,0,6.154424485066396,318.36742293443774,280.0,510.0,1200.0,1227.279646999932,246,0
open_r15_r2,open,,15,90,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,4,0.2105116629827077,13469.281168000009,14000.0,17000.0,17000.0,16628.52054399991,80,4
open_r2_r1,open,,2,20,20,4096,,kratos.local.yml,201,1366.1,0,,44,0,2.374698320290613,682.8263493636191,480.0,1800.0,2000.0,2011.2347489998683,88,0
closed_c4_r1,closed,4,,,20,12288,,kratos.local.yml,101,1277.4,0,,93,0,4.919655089877636,775.7709910967671,550.0,2200.0,2700.0,2655.141018999984,190,0
open_r75_r2,open,,75,450,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,226,11.303224581092001,11302.507898575224,15000.0,18000.0,18000.0,18157.961790999936,783,557
closed_c16_r0,closed,16,,,20,12288,,kratos.local.yml,100,2962.5,0,,60,0,3.0011599851870505,4700.356190166654,3300.0,10000.0,15000.0,14667.835473999958,134,0
gml768MiB_c32_r2,closed,32,,,20,12288,768MiB,kratos.local.yml,302,3831.2,0,,0,0,,,,,,,32,0
closed_c4_r2,closed,4,,,20,12288,,kratos.local.yml,102,1286.7,0,,89,0,4.745280249223247,787.5384915393264,600.0,1900.0,2500.0,2490.6796290001694,182,0
closed_c3_r0,closed,3,,,20,12288,,kratos.local.yml,100,1121.4,0,,100,0,5.294537612211384,554.9990503300137,390.0,1500.0,1900.0,1941.165639000019,203,0
closed_c4_r0,closed,4,,,20,12288,,kratos.local.yml,100,1279.7,0,,97,0,5.191497885585622,736.3497048350301,530.0,2100.0,2400.0,2447.573015999751,198,0
closed_c12_r1,closed,12,,,20,12288,,kratos.local.yml,101,2158.5,0,,70,0,3.694507258064435,2920.382335071416,2100.0,7800.0,9700.0,9675.128588999996,152,0
closed_c2_r1,closed,2,,,20,12288,,kratos.local.yml,101,477.5,0,,122,0,6.451876922107808,304.693711680318,280.0,310.0,1200.0,1389.2782159996386,246,0
gml1536MiB_c2_r1,closed,2,,,20,12288,1536MiB,kratos.local.yml,301,730.1,0,,112,0,5.619452426846176,346.639560794622,280.0,1000.0,1200.0,1165.2288360000966,226,0
open_r6_r1,open,,6,36,20,4096,,kratos.local.yml,201,2906.8,0,,38,1,1.9589768019161196,7918.539073205117,7800.0,15000.0,15000.0,15128.292073000011,96,1
closed_c3_r1,closed,3,,,20,12288,,kratos.local.yml,101,1140.3,0,,89,0,4.710390409794806,619.2555737640218,410.0,1700.0,1800.0,1835.92696300002,181,0
open_r50_r2,open,,50,300,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,193,9.653511400143534,11562.19473040934,10000.0,18000.0,19000.0,18693.24886200002,541,348
open_r8_r1,open,,8,48,20,4096,,kratos.local.yml,201,3873.8,0,,3,8,0.5888934003675729,11345.613267090937,10000.0,18000.0,18000.0,18363.82409099997,60,8
closed_c24_r0,closed,24,,,20,12288,,kratos.local.yml,100,3987.6,0,,22,0,1.3086791668889763,14655.852401909093,15000.0,15000.0,16000.0,15543.308282999988,68,0
gml768MiB_c4_r0,closed,4,,,20,12288,768MiB,kratos.local.yml,300,874.0,0,,113,0,5.694640902283362,668.7921451681314,510.0,1700.0,2600.0,2631.7865500000153,230,0
gml1536MiB_c1_r0,closed,1,,,20,12288,1536MiB,kratos.local.yml,300,449.2,0,,105,0,5.268721510939279,186.21637940950677,170.0,190.0,600.0,666.9995030001701,211,0
closed_c3_r2,closed,3,,,20,12288,,kratos.local.yml,102,1008.8,0,,108,0,5.474190923743731,529.7579322685175,390.0,1600.0,1800.0,1854.1503809997266,219,0
gml1536MiB_c32_r2,closed,32,,,20,12288,1536MiB,kratos.local.yml,302,3598.0,0,,0,0,,,,,,,32,0
open_r2_r0,open,,2,20,20,4096,,kratos.local.yml,200,1497.1,0,,31,0,1.6307375063863228,1666.0628238709571,1800.0,3400.0,5100.0,5061.94735400004,69,0
gml1536MiB_c8_r1,closed,8,,,20,12288,1536MiB,kratos.local.yml,301,1584.4,0,,83,0,4.356460432661917,1714.6212692529714,1300.0,4700.0,6400.0,6426.938033999704,174,0
closed_c32_r0,closed,32,,,20,12288,,kratos.local.yml,100,4217.1,0,,0,1,0.061357522068382145,16230.484691000129,16000.0,16000.0,16000.0,16230.484691000129,33,1
closed_c6_r2,closed,6,,,20,12288,,kratos.local.yml,102,1543.0,0,,83,0,4.498083883464577,1230.5286308915563,860.0,3500.0,4100.0,4054.6900949998417,172,0
open_r30_r0,open,,30,180,20,4096,,kratos.local.yml,200,4096.0,1,-9,0,141,7.063259997936906,11036.361072120535,11000.0,17000.0,18000.0,17902.125954999974,368,227
gml768MiB_c1_r2,closed,1,,,20,12288,768MiB,kratos.local.yml,302,444.9,0,,106,0,5.3130488979721635,184.50285086786403,170.0,200.0,600.0,608.5493269997642,213,0
closed_c8_r0,closed,8,,,20,12288,,kratos.local.yml,100,1889.8,0,,80,0,4.21655730282137,1721.1994393875557,1100.0,4600.0,6200.0,6214.5612809999875,167,0
closed_c6_r0,closed,6,,,20,12288,,kratos.local.yml,100,1615.5,0,,92,0,4.87124768274682,1150.5772756847914,810.0,3400.0,4500.0,4548.054065000088,190,0
open_r10_r2,open,,10,60,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,2,0.10320457744331923,8370.66937700024,9300.0,9300.0,9300.0,9302.323682000406,58,2
open_r2_r2,open,,2,20,20,4096,,kratos.local.yml,202,969.4,0,,31,0,1.5924647756361705,491.93226280649765,290.0,1400.0,1500.0,1468.408307000118,65,0
gml768MiB_c8_r1,closed,8,,,20,12288,768MiB,kratos.local.yml,301,1050.8,0,,43,0,2.3396686995158675,2969.537775697666,3100.0,5100.0,7400.0,7401.196040999821,94,0
gml1536MiB_c16_r0,closed,16,,,20,12288,1536MiB,kratos.local.yml,300,2079.2,0,,30,0,1.5879246114299344,8444.587206100035,9000.0,9400.0,11000.0,10763.245604000076,75,0
open_r10_r1,open,,10,60,20,4096,,kratos.local.yml,201,3965.2,0,,0,7,0.36741849598920534,13404.874775285667,13000.0,17000.0,17000.0,16933.58018200024,66,7
gml768MiB_c1_r1,closed,1,,,20,12288,768MiB,kratos.local.yml,301,447.0,0,,105,0,5.251214803152918,186.59723283811522,170.0,200.0,580.0,655.7914520003578,211,0
gml1536MiB_c8_r2,closed,8,,,20,12288,1536MiB,kratos.local.yml,302,1671.6,0,,83,0,4.202295297383773,1785.938568265037,1200.0,4400.0,7500.0,7505.571006999617,174,0
gml1536MiB_c4_r0,closed,4,,,20,12288,1536MiB,kratos.local.yml,300,1249.0,0,,98,0,4.9022371702593786,776.5975569693965,530.0,2000.0,2500.0,2533.8360729997476,200,0
gml768MiB_c16_r0,closed,16,,,20,12288,768MiB,kratos.local.yml,300,2072.2,0,,19,0,0.957552703155857,11316.204211421025,10000.0,17000.0,17000.0,17347.39516899981,53,0
closed_c24_r1,closed,24,,,20,12288,,kratos.local.yml,101,3963.3,0,,23,1,1.2236696246871894,16624.92731687496,17000.0,19000.0,20000.0,19551.16289899979,67,1
open_r75_r1,open,,75,450,20,4096,,kratos.local.yml,201,4096.0,1,-9,0,307,15.371560404266907,9004.404404267112,7200.0,17000.0,17000.0,17241.331426000215,945,638
gml1536MiB_c32_r0,closed,32,,,20,12288,1536MiB,kratos.local.yml,300,3953.9,0,,0,0,,,,,,,32,0
gml1536MiB_c16_r1,closed,16,,,20,12288,1536MiB,kratos.local.yml,301,2079.2,0,,32,0,1.69681988043096,7653.082261968748,9200.0,10000.0,11000.0,10560.920236999664,79,0
gml768MiB_c8_r0,closed,8,,,20,12288,768MiB,kratos.local.yml,300,1045.5,0,,27,0,1.5388472054556996,4462.563494518538,4600.0,5500.0,5800.0,5769.181659999958,62,0
open_r8_r0,open,,8,48,20,4096,,kratos.local.yml,200,4005.7,0,,6,2,0.4139311232363821,14826.071442874932,16000.0,17000.0,17000.0,16951.720775000013,57,2
closed_c1_r0,closed,1,,,20,12288,,kratos.local.yml,100,447.9,0,,106,0,5.313896148878229,184.64834406604325,170.0,200.0,590.0,617.5194940001347,213,0
closed_c24_r2,closed,24,,,20,12288,,kratos.local.yml,102,4441.7,0,,16,2,0.9909746228365397,15183.727301277815,15000.0,18000.0,18000.0,18076.798385000075,59,2
gml768MiB_c16_r1,closed,16,,,20,12288,768MiB,kratos.local.yml,301,2012.3,0,,20,0,1.0140705509362222,11011.930067900017,11000.0,16000.0,16000.0,16359.998786000233,55,0
gml1536MiB_c2_r0,closed,2,,,20,12288,1536MiB,kratos.local.yml,300,473.4,0,,130,0,6.575660630104558,298.46653328462224,280.0,310.0,930.0,1146.4996640002028,262,0
open_r1_r2,open,,1,20,20,4096,,kratos.local.yml,202,949.8,0,,18,0,0.9238042745842827,513.6381622776803,590.0,1100.0,1100.0,1094.8512059999302,36,0
gml768MiB_c16_r2,closed,16,,,20,12288,768MiB,kratos.local.yml,302,2045.6,0,,16,0,1.1872579501233178,10541.761619374996,10000.0,12000.0,12000.0,12337.191424000139,48,0
gml768MiB_c8_r2,closed,8,,,20,12288,768MiB,kratos.local.yml,302,1050.4,0,,47,0,2.571734560884323,2841.6700538297673,2700.0,5100.0,5500.0,5543.17767800012,102,0
open_r1_r1,open,,1,20,20,4096,,kratos.local.yml,201,709.8,0,,21,0,1.0619851555667637,268.6373713333437,180.0,600.0,630.0,629.1707150003276,44,0
open_r20_r2,open,,20,120,20,4096,,kratos.local.yml,202,4096.0,1,-9,0,96,4.807632968297598,11919.577827677087,15000.0,18000.0,19000.0,18568.050532000143,232,136
closed_c6_r1,closed,6,,,20,12288,,kratos.local.yml,101,1652.8,0,,84,0,4.431609235804696,1227.1500721309883,800.0,3500.0,4900.0,4946.23011900012,174,0
closed_c2_r0,closed,2,,,20,12288,,kratos.local.yml,100,708.1,0,,108,0,5.699532335825576,344.9470608148086,290.0,1100.0,1200.0,1328.5380369998165,218,0
closed_c1_r1,closed,1,,,20,12288,,kratos.local.yml,101,444.2,0,,105,0,5.263604125342505,186.60531548569756,170.0,190.0,620.0,658.508578999772,211,0
closed_c1_r2,closed,1,,,20,12288,,kratos.local.yml,102,446.9,0,,106,0,5.32028735779015,184.35817996225336,170.0,190.0,600.0,640.1320859999942,213,0
open_r1_r0,open,,1,20,20,4096,,kratos.local.yml,200,952.3,0,,22,0,1.2375674910769439,467.9532615908267,280.0,1600.0,1700.0,1691.4705369999865,44,0
open_r20_r1,open,,20,120,20,4096,,kratos.local.yml,201,4096.0,1,-9,0,101,5.054358134009732,11276.16804519799,12000.0,19000.0,19000.0,19451.53326899981,228,127
gml1536MiB_c4_r1,closed,4,,,20,12288,1536MiB,kratos.local.yml,301,1245.1,0,,88,0,4.4392373573706765,853.9799453522766,620.0,2000.0,2600.0,2622.4262620003174,180,0
gml1536MiB_c1_r2,closed,1,,,20,12288,1536MiB,kratos.local.yml,302,444.5,0,,104,0,5.219981597073951,187.99758393266933,180.0,190.0,580.0,664.4019090003894,209,0
gml1536MiB_c8_r0,closed,8,,,20,12288,1536MiB,kratos.local.yml,300,1592.1,0,,82,0,4.105627012768806,1795.452789670729,1400.0,5300.0,6600.0,6612.547318999987,171,0
open_r4_r2,open,,4,24,20,4096,,kratos.local.yml,202,1898.4,0,,66,0,3.3426798354549496,1398.4923061666314,470.0,4300.0,5000.0,4985.42754600021,136,0
